x,y
0.40404869,64.49005415
0.38646426,64.68926649
0.36752657,64.88835776
0.35065949,65.08764360
0.33706754,65.28717285
0.32355670,65.48670186
0.30276482,65.68561779
0.27967770,65.88427410
0.26229022,66.08351283
0.24784242,66.28298839
0.23072715,66.48225037
0.20918676,66.68108796
0.19077456,66.88023530
0.17531867,67.07963695
0.15893353,67.27896387
0.14104389,67.47816181
0.12123608,67.67717808
0.09984963,67.87603140
0.07751959,68.07478065
0.05443001,68.27344345
0.03136600,68.47210532
0.01292813,68.67125329
-0.00682803,68.87027550
-0.02915280,69.06902570
-0.05414211,69.26745714
-0.08028276,69.46574030
-0.10776272,69.66384633
-0.13741965,69.86163533
-0.16880425,70.05915383
-0.20155349,70.25645511
-0.23520284,70.45360374
-0.26938015,70.65066173
-0.30333264,70.84775882
-0.33784466,71.04475837
-0.37597740,71.24108964
-0.41561102,71.43712335
-0.45688896,71.63281744
-0.49988688,71.82814105
-0.54548999,72.02287276
-0.59501084,72.21664405
-0.64788531,72.40952873
-0.70342799,72.60165848
-0.76207220,72.79286685
-0.81929272,72.98449703
-0.87611339,73.17625678
-0.93755998,73.36658438
-1.00053465,73.55640826
-1.06889212,73.74437162
-1.13930268,73.93156589
-1.21332199,74.11736447
-1.29075359,74.30176652
-1.37139821,74.48478447
-1.45402169,74.66692125
-1.54032635,74.84734357
-1.63094452,75.02563763
-1.72112326,75.20415339
-1.81520829,75.38064150
-1.91123754,75.55607879
-2.01095874,75.72944846
-2.11375776,75.90100578
-2.21918977,76.07095928
-2.32738819,76.23916099
-2.44054247,76.40407200
-2.55605185,76.56734423
-2.67524316,76.72795011
-2.79807921,76.88577786
-2.92339240,77.04165298
-3.05015379,77.19634769
-3.17952926,77.34887014
-3.31179211,77.49888095
-3.44789050,77.64543402
-3.58687196,77.78924878
-3.72783512,77.93114175
-3.87219862,78.06955458
-4.01883815,78.20554618
-4.16807438,78.33869709
-4.32075873,78.46788273
-4.47515173,78.59501485
-4.63347305,78.71721245
-4.79472242,78.83552640
-4.95696941,78.95247215
-5.12146866,79.06622846
-5.28796428,79.17703829
-5.45632143,79.28499929
-5.62705023,79.38917377
-5.79993926,79.48971837
-5.97404938,79.58813622
-6.14988299,79.68343902
-6.32748788,79.77539510
-6.50654483,79.86449895
-6.68835321,79.94783870
-6.87219632,80.02659046
-7.05718018,80.10262456
-7.24345402,80.17543466
-7.43079189,80.24546875
-7.61897364,80.31320030
-7.80782328,80.37904986
-7.99752046,80.44240797
-8.18770588,80.50429361
-8.37856075,80.56407776
-8.56996238,80.62209034
-8.76195068,80.67813137
-8.95435826,80.73271000
-9.14832363,80.78144001
-9.34323938,80.82628047
-9.53850142,80.86954611
-9.73418936,80.91085418
-9.93029420,80.95013225
-10.12655335,80.98863193
-10.32327250,81.02471846
-10.52029116,81.05912070
-10.71753593,81.09220257
-10.91488077,81.12469352
-11.11257019,81.15499978
-11.31038647,81.18448663
-11.50859700,81.21114908
-11.70729120,81.23396706
-11.90608802,81.25587189
-12.10499370,81.27677221
-12.30410329,81.29561054
-12.50336993,81.31273719
-12.70275705,81.32837569
-12.90216598,81.34374002
-13.10168909,81.35752877
-13.30127787,81.37035491
-13.50092074,81.38229266
-13.70064923,81.39270240
-13.90034785,81.40365796
-14.10030968,81.40788929
-14.30028996,81.41021953
-14.50025112,81.41418950
-14.70024413,81.41588724
-14.90022964,81.41829168
-15.10022596,81.41947236
-15.30022256,81.41825335
-15.50021377,81.41637409
-15.70021321,81.41562418
-15.90020439,81.41382628
-16.10020142,81.41268956
-16.30019861,81.41164901
-16.50017254,81.40842190
-16.70010730,81.40331486
-16.90005382,81.39870260
-17.10000736,81.39437426
-17.29991421,81.38828555
-17.49983799,81.38277713
-17.69978171,81.37802405
-17.89972138,81.37311362
-18.09965686,81.36803971
-18.29960301,81.36336001
-18.49953600,81.35822565
-18.69944272,81.35212643
-18.89936745,81.34658927
-19.09925422,81.33988432
-19.29913905,81.33310057
-19.49902113,81.32623715
-19.69890737,81.31949513
-19.89878824,81.31259347
-20.09867959,81.30600152
-20.29857633,81.29957490
-20.49846076,81.29277909
-20.69832780,81.28547967
-20.89820238,81.27840279
-21.09806655,81.27104172
-21.29792280,81.26345165
-21.49779744,81.25637329
-21.69766161,81.24900269
-21.89751505,81.24134765
-22.09736925,81.23371063
-22.29723627,81.22641966
-22.49710041,81.21904884
-22.69695764,81.21149173
-22.89682020,81.20408999
-23.09663225,81.19540057
-23.29643896,81.18661169
-23.49625956,81.17814498
-23.69608909,81.16989191
-23.89593537,81.16204913
-24.09579545,81.15457669
-24.29568795,81.14801855
-24.49557844,81.14139292
-24.69542510,81.13358501
-24.89525437,81.12531608
-25.09506946,81.11672425
-25.29483775,81.10709856
-25.49454731,81.09632611
-25.69423903,81.08522068
-25.89396467,81.07475224
-26.09372075,81.06488112
-26.29353547,81.05626130
-26.49338015,81.04838072
-26.69322751,81.04057347
-26.89310507,81.03356775
-27.09294272,81.02551933
-27.29278003,81.01745898
