-1269.39810186,1103.80538472
-1269.53915191,1103.66359224
-1269.68021504,1103.52181283
-1269.82130432,1103.38005956
-1269.96243284,1103.23834553
-1270.10361366,1103.09668379
-1270.24485986,1102.95508744
-1270.38618452,1102.81356953
-1270.52760072,1102.67214315
-1270.66912153,1102.53082137
-1270.81076003,1102.38961727
-1270.95252910,1102.24854378
-1271.09444014,1102.10761267
-1271.23650377,1101.96683516
-1271.37873066,1101.82622246
-1271.52113144,1101.68578578
-1271.66371676,1101.54553633
-1271.80649727,1101.40548533
-1271.94948361,1101.26564398
-1272.09268643,1101.12602351
-1272.23611636,1100.98663512
-1272.37978414,1100.84749013
-1272.52370199,1100.70860229
-1272.66788355,1100.56998755
-1272.81234249,1100.43166194
-1272.95709250,1100.29364150
-1273.10214727,1100.15594226
-1273.24752048,1100.01858028
-1273.39322581,1099.88157159
-1273.53927696,1099.74493222
-1273.68568761,1099.60867821
-1273.83247139,1099.47282558
-1273.97963740,1099.33738576
-1274.12718567,1099.20236121
-1274.27511519,1099.06775336
-1274.42342495,1098.93356359
-1274.57211392,1098.79979332
-1274.72118110,1098.66644396
-1274.87062547,1098.53351690
-1275.02044602,1098.40101357
-1275.17064172,1098.26893536
-1275.32121157,1098.13728368
-1275.47215446,1098.00605983
-1275.62346880,1097.87526459
-1275.77515290,1097.74489854
-1275.92720502,1097.61496231
-1276.07962345,1097.48545650
-1276.23240647,1097.35638172
-1276.38555238,1097.22773857
-1276.53905945,1097.09952766
-1276.69292596,1096.97174959
-1276.84715020,1096.84440498
-1277.00173004,1096.71749388
-1277.15665703,1096.59100785
-1277.31191775,1096.46493180
-1277.46749866,1096.33925047
-1277.62338624,1096.21394861
-1277.77956692,1096.08901095
-1277.93602719,1095.96442223
-1278.09275348,1095.84016720
-1278.24973228,1095.71623058
-1278.40695002,1095.59259711
-1278.56439320,1095.46925156
-1278.72205157,1095.34618256
-1278.87992281,1095.22338808
-1279.03800575,1095.10086746
-1279.19629921,1094.97862001
-1279.35480204,1094.85664507
-1279.51351304,1094.73494198
-1279.67243107,1094.61351005
-1279.83155493,1094.49234863
-1279.99088347,1094.37145704
-1280.15041551,1094.25083461
-1280.31014908,1094.13047957
-1280.47007647,1094.01038223
-1280.63018743,1093.89052942
-1280.79047173,1093.77090796
-1280.95091910,1093.65150467
-1281.11151932,1093.53230638
-1281.27226213,1093.41329990
-1281.43313729,1093.29447206
-1281.59413455,1093.17580967
-1281.75524366,1093.05729956
-1281.91645444,1092.93892860
-1282.07775781,1092.82068474
-1282.23914564,1092.70255687
-1282.40060985,1092.58453389
-1282.56214237,1092.46660472
-1282.72373510,1092.34875827
-1282.88537996,1092.23098346
-1283.04706887,1092.11326919
-1283.20879374,1091.99560439
-1283.37054649,1091.87797796
-1283.53231919,1091.76037903
-1283.69410984,1091.64280486
-1283.85592413,1091.52526325
-1284.01776824,1091.40776270
-1284.17964837,1091.29031171
-1284.34157072,1091.17291878
-1284.50354146,1091.05559239
-1284.66556680,1090.93834106
-1284.82765293,1090.82117327
-1284.98980603,1090.70409753
-1285.15203225,1090.58712226
-1285.31433296,1090.47024946
-1285.47670064,1090.35346918
-1285.63912682,1090.23677017
-1285.80160305,1090.12014120
-1285.96412086,1090.00357103
-1286.12667177,1089.88704842
-1286.28924734,1089.77056213
-1286.45183909,1089.65410092
-1286.61443856,1089.53765355
-1286.77703726,1089.42120875
-1286.93961023,1089.30473202
-1287.10208565,1089.18812284
-1287.26438350,1089.07126909
-1287.42642371,1088.95405861
-1287.58812625,1088.83637928
-1287.74941106,1088.71811894
-1287.91019811,1088.59916548
-1288.07040734,1088.47940673
-1288.22995870,1088.35873058
-1288.38877215,1088.23702487
-1288.54675529,1088.11416983
-1288.70374113,1087.98999957
-1288.85953479,1087.86433094
-1289.01394134,1087.73698078
-1289.16676587,1087.60776591
-1289.31781345,1087.47650317
-1289.46688915,1087.34300939
-1289.61379806,1087.20710140
-1289.75834525,1087.06859604
-1289.90033579,1086.92731012
-1290.03957053,1086.78306849
-1290.17580203,1086.63578695
-1290.30875226,1086.48543906
-1290.43814267,1086.33199929
-1290.56369473,1086.17544212
-1290.68512992,1086.01574201
-1290.80216968,1085.85287343
-1290.91453550,1085.68681087
-1291.02194883,1085.51752880
-1291.12413114,1085.34500168
-1291.22080714,1085.16920925
-1291.31177198,1084.99024529
-1291.39688897,1084.80831400
-1291.47602425,1084.62362408
-1291.54904391,1084.43638424
-1291.61581408,1084.24680318
-1291.67620087,1084.05508962
-1291.73007040,1083.86145227
-1291.77728877,1083.66609983
-1291.81772211,1083.46924100
-1291.85123918,1083.27108537
-1291.87776646,1083.07186108
-1291.89728627,1082.87181432
-1291.90978321,1082.67119198
-1291.91524187,1082.47024098
-1291.91364687,1082.26920822
-1291.90498281,1082.06834062
-1291.88923429,1081.86788507
-1291.86638591,1081.66808848
-1291.83642227,1081.46919777
-1291.79932856,1081.27146033
-1291.75511145,1081.07514241
-1291.70380500,1080.88053424
-1291.64544507,1080.68792760
-1291.58006752,1080.49761430
-1291.50770820,1080.30988612
-1291.42840297,1080.12503486
-1291.34218769,1079.94335232
-1291.24909821,1079.76513028
-1291.14917039,1079.59066054
-1291.04244156,1079.42023435
-1290.92902272,1079.25411625
-1290.80913084,1079.09253230
-1290.68299114,1078.93570557
-1290.55082884,1078.78385914
-1290.41286914,1078.63721609
-1290.26933726,1078.49599950
-1290.12045841,1078.36043245
-1289.96645781,1078.23073800
-1289.80756068,1078.10713924
-1289.64399233,1077.98985898
-1289.47599530,1077.87907830
