-1239.66547846,1128.97714475
-1239.57747145,1129.15674488
-1239.48949880,1129.33636154
-1239.40159486,1129.51601125
-1239.31379400,1129.69571055
-1239.22613057,1129.87547596
-1239.13863892,1130.05532401
-1239.05135343,1130.23527122
-1238.96430843,1130.41533413
-1238.87753830,1130.59552925
-1238.79107739,1130.77587313
-1238.70495431,1130.95637942
-1238.61917101,1131.13704844
-1238.53372165,1131.31787666
-1238.44860043,1131.49886054
-1238.36380152,1131.67999652
-1238.27931911,1131.86128106
-1238.19514738,1132.04271063
-1238.11128051,1132.22428168
-1238.02771268,1132.40599066
-1237.94443808,1132.58783404
-1237.86145112,1132.76980842
-1237.77874794,1132.95191145
-1237.69632538,1133.13414123
-1237.61418028,1133.31649585
-1237.53230950,1133.49897341
-1237.45070987,1133.68157201
-1237.36937825,1133.86428975
-1237.28831148,1134.04712471
-1237.20750641,1134.23007501
-1237.12695989,1134.41313872
-1237.04666760,1134.59631348
-1236.96660742,1134.77958942
-1236.88674325,1134.96295085
-1236.80703863,1135.14638191
-1236.72745709,1135.32986676
-1236.64796217,1135.51338955
-1236.56851739,1135.69693441
-1236.48908630,1135.88048549
-1236.40963242,1136.06402695
-1236.33011929,1136.24754293
-1236.25051075,1136.43101771
-1236.17079713,1136.61444703
-1236.09101505,1136.79784664
-1236.01120576,1136.98123431
-1235.93141055,1137.16462783
-1235.85167069,1137.34804496
-1235.77202743,1137.53150347
-1235.69252207,1137.71502114
-1235.61319587,1137.89861574
-1235.53409010,1138.08230503
-1235.45524603,1138.26610681
-1235.37669501,1138.45003449
-1235.29843326,1138.63408610
-1235.22044916,1138.81825627
-1235.14273111,1139.00253962
-1235.06526751,1139.18693075
-1234.98804678,1139.37142430
-1234.91105729,1139.55601487
-1234.83428747,1139.74069708
-1234.75772570,1139.92546556
-1234.68136039,1140.11031493
-1234.60518002,1140.29523987
-1234.52917365,1140.48023573
-1234.45333066,1140.66529815
-1234.37764041,1140.85042277
-1234.30209227,1141.03560524
-1234.22667559,1141.22084119
-1234.15137974,1141.40612627
-1234.07619409,1141.59145612
-1234.00110801,1141.77682639
-1233.92611085,1141.96223272
-1233.85119274,1142.14767105
-1233.77635416,1142.33314151
-1233.70160298,1142.51864721
-1233.62694727,1142.70419132
-1233.55239506,1142.88977702
-1233.47795441,1143.07540749
-1233.40363338,1143.26108591
-1233.32944001,1143.44681544
-1233.25538235,1143.63259928
-1233.18146847,1143.81844059
-1233.10770637,1144.00434253
-1233.03410334,1144.19030784
-1232.96066580,1144.37633873
-1232.88740014,1144.56243742
-1232.81431275,1144.74860611
-1232.74141002,1144.93484700
-1232.66869834,1145.12116232
-1232.59618410,1145.30755425
-1232.52387368,1145.49402501
-1232.45177348,1145.68057681
-1232.37988980,1145.86721181
-1232.30821973,1146.05392874
-1232.23674311,1146.24071983
-1232.16543790,1146.42757660
-1232.09428203,1146.61449058
-1232.02325345,1146.80145329
-1231.95233010,1146.98845626
-1231.88148993,1147.17549100
-1231.81071087,1147.36254904
-1231.73997088,1147.54962191
-1231.66924790,1147.73670112
-1231.59852637,1147.92378069
-1231.52780981,1148.11086194
-1231.45710521,1148.29794752
-1231.38641957,1148.48504007
-1231.31575988,1148.67214225
-1231.24513313,1148.85925670
-1231.17454632,1149.04638607
-1231.10400644,1149.23353302
-1231.03352049,1149.42070019
-1230.96309545,1149.60789023
-1230.89273716,1149.79510536
-1230.82244468,1149.98234523
-1230.75221471,1150.16960864
-1230.68204396,1150.35689436
-1230.61192912,1150.54420116
-1230.54186688,1150.73152784
-1230.47185394,1150.91887315
-1230.40188701,1151.10623589
-1230.33196276,1151.29361483
-1230.26207790,1151.48100875
-1230.19223083,1151.66841704
-1230.12243646,1151.85584512
-1230.05271898,1152.04330178
-1229.98310270,1152.23079587
-1229.91361193,1152.41833622
-1229.84427096,1152.60593166
-1229.77510409,1152.79359103
-1229.70613564,1152.98132316
-1229.63738991,1153.16913690
-1229.56889119,1153.35704107
-1229.50066342,1153.54504437
-1229.43271988,1153.73315132
-1229.36506195,1153.92136178
-1229.29769036,1154.10967535
-1229.23060585,1154.29809164
-1229.16380914,1154.48661027
-1229.09730099,1154.67523084
-1229.03108212,1154.86395296
-1228.96515328,1155.05277624
-1228.89951519,1155.24170028
-1228.83416858,1155.43072471
-1228.76911026,1155.61984790
-1228.70432748,1155.80906532
-1228.63980611,1155.99837202
-1228.57553202,1156.18776301
-1228.51149106,1156.37723332
-1228.44766910,1156.56677799
-1228.38405199,1156.75639205
-1228.32062560,1156.94607053
-1228.25737579,1157.13580845
-1228.19428842,1157.32560085
-1228.13135345,1157.51544410
-1228.06858205,1157.70534149
-1228.00599221,1157.89529852
-1227.94360190,1158.08532070
-1227.88142913,1158.27541354
-1227.81949188,1158.46558257
-1227.75780814,1158.65583328
-1227.69639590,1158.84617119
-1227.63527313,1159.03660181
-1227.57445784,1159.22713065
-1227.51396604,1159.41776257
-1227.45379693,1159.60849698
-1227.39394123,1159.79933050
-1227.33438957,1159.99025973
-1227.27513261,1160.18128127
-1227.21616098,1160.37239173
-1227.15746532,1160.56358772
-1227.09903629,1160.75486582
-1227.04086452,1160.94622266
-1226.98294066,1161.13765483
-1226.92525625,1161.32915921
-1226.86781382,1161.52073606
-1226.81062330,1161.71238787
-1226.75369474,1161.90411721
-1226.69703821,1162.09592664
-1226.64066376,1162.28781870
-1226.58458144,1162.47979594
-1226.52880133,1162.67186094
-1226.47333347,1162.86401623
-1226.41818792,1163.05626438
-1226.36337479,1163.24860794
-1226.30890529,1163.44104952
