tensor(-1.0069, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.2210, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.4120, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.3831, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.3251, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.0691, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.9893, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.0067, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.4372, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.3583, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.1582, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.0461, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.8121, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.4597, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.3871, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.2146, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.0996, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.8231, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.4562, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.4060, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.2692, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.2056, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.9133, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.4393, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.4274, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.2902, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.3452, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.0492, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.4692, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.4528, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.3248, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.3824, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.1224, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.4686, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.4776, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.3745, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.4172, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.1916, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.4528, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.5037, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.3857, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.4512, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.2274, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.5496, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.5082, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.3361, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.5282, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.2398, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.7061, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.2276, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-0.9426, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.5810, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.2272, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.6696, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.1164, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.2614, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.6331, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.3459, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.7700, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.2575, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.2813, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.5748, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.6820, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.8350, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.3206, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.4476, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.4652, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.7719, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.8450, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.3740, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.3697, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-0.9350, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-0.9277, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.8352, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.3537, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.5746, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.3034, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.0980, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.7573, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.4408, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.4813, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.1629, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.2145, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.6346, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.5345, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.5660, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.6690, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.2758, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.2964, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.5430, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.5272, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.4720, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.2650, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.4506, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.5325, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.5800, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.5154, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.2656, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.5090, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.5883, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.6656, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.6832, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.3280, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.8607, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.6136, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.7107, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.7043, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.3735, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.7250, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.6715, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.6871, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.7339, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.3973, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.8702, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.6966, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.7957, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.7664, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.4077, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.9911, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.7374, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.8472, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.8391, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.4649, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.9878, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.7879, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.8093, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.7939, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.5113, device='cuda:0', grad_fn=<MeanBackward0>), 3
tensor(-1.9629, device='cuda:0', grad_fn=<MeanBackward0>), 4
tensor(-1.8019, device='cuda:0', grad_fn=<MeanBackward0>), 0
tensor(-1.8549, device='cuda:0', grad_fn=<MeanBackward0>), 1
tensor(-1.8656, device='cuda:0', grad_fn=<MeanBackward0>), 2
tensor(-1.5132, device='cuda:0', grad_fn=<MeanBackward0>), 3
